GCF_001566635.1	Esch_coli_G749
GCF_001900435.1	Esch_coli_H6
GCF_005222285.1	Esch_coli_112
GCF_004924355.1	Esch_coli_G3X16-2
GCF_004193755.1	Esch_coli_U15A
GCF_000986765.1	Esch_coli_C227-11
GCF_003956445.1	Esch_coli_503440
GCF_003966795.1	Esch_coli_pv15-279
GCF_003181035.1	Esch_coli_DA33135
GCF_001682305.2	Esch_coli_EC590
GCF_003667385.1	Esch_coli_BE2-5
GCF_003018135.1	Esch_coli_2014C-3050
GCF_003018995.1	Esch_coli_95-3192
GCF_002853805.1	Esch_coli_14EC029
GCF_003018715.1	Esch_coli_2013C-3277
GCF_001651925.2	Esch_coli_FRIK2069
GCF_005221705.1	Esch_coli_133
GCF_001542675.2	Esch_coli_MRE600
GCF_000599625.1	Esch_coli_ST540
GCF_000599645.1	Esch_coli_ST540
GCF_000597845.1	Esch_coli_ST540
GCF_000971615.1	Esch_coli_CI5
GCF_002999075.1	Esch_coli_AR_0374
GCF_002024865.1	Esch_coli_NU14
GCF_003018935.1	Esch_coli_2014C-3599
GCF_001806285.1	Esch_coli_NADC_5570_86-24_6564
GCF_900636145.1	Esch_coli_NCTC9087
GCF_900635205.1	Esch_coli_NCTC9082
GCF_900636065.1	Esch_coli_NCTC11113
GCF_001183665.1	Esch_coli_DH1Ec104
GCF_003491165.1	Esch_coli_FORC_069
GCF_900636045.1	Esch_coli_NCTC10973
GCF_005037815.1	Esch_coli_FWSEC0002
GCF_003571665.1	Esch_coli_AR_0086
GCF_000953515.1	Esch_coli_K-12_substr_HMS174
GCF_005221665.1	Esch_coli_135
GCF_001901105.1	Esch_coli_M9
GCF_001559635.1	Esch_coli_C3029
GCF_001900595.1	Esch_coli_D1
GCF_001721225.1	Esch_coli_CFSAN004176
GCF_002192295.1	Esch_coli_AR_0150
GCF_900637015.1	Esch_coli_NCTC11133
GCF_900636075.1	Esch_coli_NCTC11129
GCF_002863845.1	Esch_coli_STEC299
GCF_001558995.2	Esch_coli_JEONG-1266
GCF_002220215.1	Esch_coli_E62
GCF_002716885.1	Esch_coli_RM7190
GCF_005221625.1	Esch_coli_137
GCF_003017455.1	Esch_coli_2015C-3101
GCF_002163655.1	Esch_coli_KSC9
GCF_003703795.1	Esch_coli_ECCHD184
GCF_002007705.1	Esch_coli_NCTC86
GCF_900699165.1	Esch_coli_NCTC86
GCF_000671295.1	Esch_coli_RM12581
GCF_900520385.1	Esch_coli_str_3426
GCF_000017985.1	Esch_coli_REL606
GCF_001677495.1	Esch_coli_09-00049
GCF_003018375.1	Esch_coli_2013C-4974
GCF_003410275.1	Esch_coli_S10
GCF_001901465.1	Esch_coli_S10
GCF_001890345.1	Esch_coli_10671
GCF_003571765.1	Esch_coli_ECCWS199
GCF_900636245.1	Esch_coli_NCTC9107
GCF_003017935.1	Esch_coli_2015C-3121
GCF_002302315.1	Esch_coli_ETEC-2265
GCF_001442495.1	Esch_coli_YD786
GCF_003019215.1	Esch_coli_2013C-3342
GCF_001644745.1	Esch_coli_2013C-4465
GCF_001753565.1	Esch_coli_4276
GCF_000599705.1	Esch_coli_ST2747
GCF_000599665.1	Esch_coli_ST2747
GCF_000599685.1	Esch_coli_ST2747
GCF_004358985.1	Esch_coli_BH212
GCF_003956325.1	Esch_coli_103605
GCF_002055605.1	Esch_coli_13E0725
GCF_000332755.1	Esch_coli_APEC_O78
GCF_001890365.1	Esch_coli_MRSN346647
GCF_001901445.1	Esch_coli_S56
GCF_000227625.1	Esch_coli_CE10
GCF_000299455.1	Esch_coli_2011C-3493
GCF_002953855.1	Esch_coli_2F_0
GCF_000010385.1	Esch_coli_SE11
GCF_003790525.1	Esch_coli_ECCNB12-2
GCF_002142715.1	Esch_coli_strain_Z247
GCF_002393465.1	Esch_coli_FDAARGOS_401
GCF_001999185.1	Esch_coli_MGY
GCF_002393365.1	Esch_coli_FDAARGOS_403
GCF_001750845.1	Esch_coli_FORC_031
GCF_000750555.1	Esch_coli_K-12_substr_BW25113
GCF_002993265.1	Esch_coli_AS19-RrmA-
GCF_003018115.1	Esch_coli_88-3493
GCF_002844165.1	Esch_coli_16-9255
GCF_005037775.1	Esch_coli_FWSEC0008
GCF_001644725.1	Esch_coli_2011C-3911
GCF_901733115.1	Esch_coli_EcMAD1
GCF_002310735.1	Esch_coli_1283
GCF_003627855.1	Esch_coli_118UI
GCF_000021125.1	Esch_coli_EC4115
GCF_001051135.1	Esch_coli_ACN001
GCF_004328685.1	Esch_coli_D72
GCF_002157245.1	Esch_coli_81009
GCF_001577325.1	Esch_coli_ZH063
GCF_000801185.2	Esch_coli_94-3024
GCF_000974405.1	Esch_coli_ER3454
GCF_000831565.1	Esch_coli_ECC-1470
GCF_003019095.1	Esch_coli_95-3322
GCF_003956365.1	Esch_coli_602354
GCF_003346835.1	Esch_coli_Es_ST80_L1_NDM_10_2017
GCF_002952895.1	Esch_coli_6A
GCF_004118915.1	Esch_coli_C1-057
GCF_900747775.1	Esch_coli_f974b26a-5e81-11e8-bf7f-3c4a9275d6c8
GCF_004368015.1	Esch_coli_FORC_081
GCF_002741495.1	Esch_coli_F6326-C1
GCF_002012265.1	Esch_coli_Ecol_AZ161
GCF_002899535.1	Esch_coli_CIT
GCF_001900985.1	Esch_coli_S43
GCF_002952875.1	Esch_coli_6FA
GCF_003044015.1	Esch_coli_RM14715
GCF_003413625.1	Esch_coli_UK_Dog_Liverpool
GCF_001886895.1	Esch_coli_FORC_029
GCF_003018635.1	Esch_coli_86-3153
